model_name,split,site_id,row_count,MAE,RMSE,normalized_MAE_by_site_mean,normalized_RMSE_by_site_mean,MBE,underestimation_rate,peak_MAE,peak_underestimation_rate
Zero_Load,test,Parking_Lot_01,2223,0.7740082932146968,1.9761913966440818,0.3464816251148316,0.8846339408113579,-0.7740082932146968,22.357174988753936,10.500080607689803,100.0
Average_24h_168h,test,Parking_Lot_01,2223,0.8839195309099747,1.7673260214293662,0.39568293805797217,0.7911362156977847,-0.0023609300971511944,17.498875393612238,7.670544975190182,100.0
Ridge_Regression_All_Features,test,Parking_Lot_01,2223,1.0287819319654226,2.110557942568344,0.4605299953514599,0.9447825717769841,0.9095059023859906,4.228520017993702,1.6066355288751124,100.0
Linear_Regression_All_Features,test,Parking_Lot_01,2223,1.03787107839049,2.1220684327599626,0.4645987143198115,0.9499351953114119,0.9191479552044503,4.183535762483131,1.593139627937977,100.0
Persistence_24h,test,Parking_Lot_01,2223,1.1146903235637238,2.366481324755648,0.4989865330822827,1.059345619928388,-0.009040900173122236,17.813765182186234,9.076620741384902,100.0
Site_Train_Mean,test,Parking_Lot_01,2223,2.24388471608356,2.3318560413838423,1.0044657529054521,1.0438457544128683,1.4599003389044627,14.125056230319387,8.266171975570643,100.0
Global_Train_Mean,test,Parking_Lot_01,2223,11.085669929350043,11.23380262336404,4.962454493420267,5.028765483889681,11.085669929350043,0.0,1.359597614874938,0.0
Persistence_1h,test,S_Wilson_Garage_01,2209,1.3031663216078797,2.6534921018077506,0.4928382106703961,1.0035114304284927,0.005687944850625052,23.94748755092802,2.811979967507626,66.52173913043478
Ridge_Regression_All_Features,test,S_Wilson_Garage_01,2209,2.0190417459185364,2.9776040899497316,0.7635716982768498,1.1260857861681604,1.3981935707026034,12.94703485740154,2.79211751937883,58.69565217391305
Linear_Regression_All_Features,test,S_Wilson_Garage_01,2209,2.047156136942824,3.002919882789336,0.7742041447549033,1.1356598442434023,1.4389948206595007,12.856496152105024,2.7857785429102946,58.69565217391305
Persistence_168h,test,S_Wilson_Garage_01,2209,2.2339427295700287,3.8120349882979028,0.8448440688852563,1.441655198952406,0.10983753487337712,27.342688999547306,4.830470470952803,78.26086956521739
Average_24h_168h,test,S_Wilson_Garage_01,2209,2.2661236066261683,3.5135352153058323,0.8570144001800242,1.328767003817482,0.0697694304207936,28.700769578995022,4.953332660684292,87.82608695652175
Persistence_24h,test,S_Wilson_Garage_01,2209,2.7494527192105203,4.409032237528825,1.0398023153227984,1.6674307206241878,0.029701325968209992,29.153463105477588,5.980908574698449,84.78260869565217
Zero_Load,test,S_Wilson_Garage_01,2209,3.165176071250158,5.440690477084718,1.1970227326677791,2.057588594086395,-3.165176071250158,46.17473970122227,12.771700258581262,100.0
Site_Train_Mean,test,S_Wilson_Garage_01,2209,3.6250740904833987,4.455803173377596,1.370949355180642,1.6851187961621192,-0.5209689188964206,39.429606156631955,10.127493106227524,100.0
Global_Train_Mean,test,S_Wilson_Garage_01,2209,9.033815753916162,9.755877252438124,3.41645538091625,3.6895283502103613,8.69450215131458,6.564056133997284,2.3468638254917056,63.04347826086957
Ridge_Regression_All_Features,validation,Arroyo_Garage_01,606,6.781369923323065,10.56590067138973,0.28856445780649004,0.44960582197272875,1.2515938430841993,27.887788778877887,12.680403868284154,70.52631578947368
Linear_Regression_All_Features,validation,Arroyo_Garage_01,606,6.7844951492343775,10.568479096607577,0.2886974440807706,0.4497155404932335,1.2546840182797165,27.887788778877887,12.683242007013737,70.52631578947368
Persistence_1h,validation,Arroyo_Garage_01,606,8.698239046201337,14.877952976222065,0.3701320916892788,0.6330945638414843,0.21190315274607588,29.207920792079207,15.561476987650448,60.0
Persistence_168h,validation,Arroyo_Garage_01,606,12.312149610935895,20.346287276581993,0.5239131351163788,0.8657860318383733,0.801878138472039,35.64356435643564,21.131129023862705,62.10526315789474
Average_24h_168h,validation,Arroyo_Garage_01,606,12.384026578650051,19.602538746777622,0.5269716820547895,0.834137649037542,1.1861946919418709,34.15841584158416,20.545644844376866,69.47368421052632
Persistence_24h,validation,Arroyo_Garage_01,606,16.441632774991664,28.411323867363738,0.6996330978570123,1.2089737560479386,1.570511245411702,34.65346534653465,26.771026335927186,64.21052631578948
Global_Train_Mean,validation,Arroyo_Garage_01,606,28.903792438539206,43.289714343439975,1.229929540474214,1.842086936615783,-17.76121915947522,48.349834983498354,93.66483098899322,100.0
Zero_Load,validation,Arroyo_Garage_01,606,29.620897382039967,49.35520259935182,1.2604441712275012,2.1001888171634153,-29.620897382039967,62.211221122112214,105.5245092115579,100.0
