model_name,split,MAE,RMSE,R2,MBE,underestimation_rate,overestimation_rate,peak_MAE,high_peak_MAE,peak_RMSE,high_peak_RMSE,peak_underestimation_rate,high_peak_underestimation_rate,peak_bias,high_peak_bias,peak_overestimation_rate,high_peak_overestimation_rate,top_10_percent_actual_peak_MAE,top_5_percent_actual_peak_MAE,actual_max_load_kw,predicted_load_at_actual_max_kw,actual_max_underprediction_kw,row_count,peak_row_count,high_peak_row_count,site_id
PS-EAHPA,validation,3.6522128014501583,6.274783323058341,0.6277249565566491,-0.18662862565985294,26.194956718103125,73.80504328189687,22.844589113664597,31.75493758593544,24.513191357597197,32.089848714273344,96.29629629629629,100.0,-22.639451453103295,-31.75493758593544,3.7037037037037033,0.0,11.916161045453421,14.980681116110214,82.98885018964796,52.14667410573689,30.84217608391107,2657,27,3,California_Garage_02
PS-EAHPA,validation,19.58157989407404,57.86565069165482,0.35086245568593577,-0.007082399427395739,34.114977307110436,65.88502269288956,34.67993802479536,50.390209220409645,101.09411875327663,134.1824780463067,82.5,86.99551569506725,-26.67127491679349,-42.18596808382952,17.5,13.004484304932735,69.87090159781926,106.82568215616506,1606.9177187074972,332.4327774299811,1274.484941277516,1322,400,223,N_Wilson_Garage_01
PS-EAHPA,validation,0.23476376486450892,0.746020244307522,0.8177263135210888,0.05695023356018682,6.837606837606838,93.16239316239316,2.838685000130169,,3.3975888773422995,,91.66666666666666,,-2.7355324279000093,,8.333333333333332,,1.1015384287285397,1.5242012328337065,12.575091789876833,10.087178061731432,2.4879137281454007,2223,24,0,Parking_Lot_01
PS-EAHPA,validation,0.9216441351942023,1.838494560682867,0.7403642321807908,0.031955433850727036,18.387681159420293,81.61231884057972,3.7368768393985974,5.302017302270014,4.7039972354105615,6.094437097450134,92.24806201550388,97.5,-3.6025920661247577,-5.274628505791303,7.751937984496124,2.5,3.063300557206359,3.9465313559663984,21.08775397980203,12.785695371803534,8.302058607998497,2208,129,40,S_Wilson_Garage_01
LGBMRegressor,test,5.01058048612826,8.622105614086662,0.9282392465961959,1.3354595019104323,19.966996699669966,50.66006600660066,11.642726929476307,14.232810747243736,14.297839477988695,16.81777820677625,72.09302325581395,86.66666666666667,-7.5799009941157145,-12.98050091402612,27.906976744186046,13.333333333333334,12.479450925552111,12.724472704078714,128.44555031546562,93.09199697683836,35.353553338627265,606,43,15,Arroyo_Garage_01
LGBMRegressor,test,2.691473989331462,8.589683127302434,-0.04708101624061478,0.32232302765617976,11.815220610008884,57.44743855493041,78.27509482482934,112.48348314810376,100.40300653764449,140.11248578083797,100.0,100.0,-78.27509482482934,-112.48348314810376,0.0,0.0,13.29897490873869,22.087653348765468,233.57571077080087,3.473298937219176,230.1024118335817,3377,7,3,California_Garage_01
LGBMRegressor,test,7.982530014148981,14.58227607856656,0.268808802255442,0.5834519124939697,34.39969890854347,62.890477982687244,33.678727280163976,48.83211893180642,43.089396239859035,58.487725205469175,92.64705882352942,94.82758620689656,-30.66192659232828,-43.22801880581589,7.352941176470589,5.172413793103448,24.75041185978166,33.80096767363207,206.32919292080408,36.63375402407591,169.69543889672815,2657,136,58,California_Garage_02
LGBMRegressor,test,12.816949291124423,20.361896384065204,0.32562607627360396,2.144039822243841,30.763416477702194,68.63189720332578,26.325473458571338,36.346853277294144,34.18395388092232,43.45958543274287,87.86610878661088,94.0677966101695,-22.165435312387086,-32.78963835469955,12.133891213389122,5.932203389830509,34.0328876024669,47.283716794691074,175.316543045655,15.372632800346311,159.9439102453087,1323,239,118,N_Wilson_Garage_01
LGBMRegressor,test,0.3725649802090834,0.8798487099145774,0.7658570128472558,0.024955439863741064,13.045434098065678,32.298695456590195,3.796221167778389,,4.575628163391183,,84.61538461538461,,-3.5925298230545386,,15.384615384615385,,1.51247308691997,1.84044504191943,11.143347336431464,7.069447969743984,4.07389936668748,2223,13,0,Parking_Lot_01
LGBMRegressor,test,1.268872003454704,2.2028800567364994,0.7521964601907084,0.11512170330363146,24.219103666817567,47.397012222725216,3.1205262358952317,4.118110116374347,3.9367381676775857,4.951487687538448,80.8695652173913,94.31818181818183,-2.5323228175702415,-4.022062430799949,19.130434782608695,5.681818181818182,3.188109061795774,3.8930128546637803,21.33654974232288,10.4186067874906,10.91794295483228,2209,230,88,S_Wilson_Garage_01
