scenario_id,horizon_scenario,charger_power_kw,capacity_scenario,forecast_signal_scenario,comparison_strategy,peak_reduction_difference,capacity_violation_difference,unserved_energy_difference,energy_delivery_difference,uncertainty_aware_best_for_capacity_risk,uncertainty_aware_best_for_peak_reduction,uncertainty_aware_safer_but_more_conservative
20,original_calendar_aligned,7.2,capacity_p95,prc_peak_sensitive,peak_sensitive,0.0,0,5.204170427930421e-18,0.0,False,False,False
20,original_calendar_aligned,7.2,capacity_p95,prc_peak_sensitive,point_forecast,0.0,0,5.204170427930421e-18,0.0,False,False,False
20,original_calendar_aligned,7.2,capacity_p95,prc_peak_sensitive,uncontrolled,43.77490023175639,-164,-2.6194324487249787e-16,1.4551915228366852e-11,False,False,False
20,original_calendar_aligned,7.2,capacity_p95,prc_peak_sensitive,valley_filling,-12.515338689540776,5,-1.3877787807814457e-16,1.4551915228366852e-11,False,False,False
21,original_calendar_aligned,7.2,capacity_p95,upper_bound,peak_sensitive,0.0,0,5.204170427930421e-18,0.0,False,False,False
21,original_calendar_aligned,7.2,capacity_p95,upper_bound,point_forecast,0.0,0,5.204170427930421e-18,0.0,False,False,False
21,original_calendar_aligned,7.2,capacity_p95,upper_bound,uncontrolled,43.77490023175639,-164,-2.6194324487249787e-16,1.4551915228366852e-11,False,False,False
21,original_calendar_aligned,7.2,capacity_p95,upper_bound,valley_filling,-12.515338689540776,5,-1.3877787807814457e-16,1.4551915228366852e-11,False,False,False
22,original_calendar_aligned,7.2,capacity_p95_plus_10percent,eahpa_point,peak_sensitive,0.0,0,5.204170427930421e-18,0.0,False,False,False
22,original_calendar_aligned,7.2,capacity_p95_plus_10percent,eahpa_point,point_forecast,0.0,0,5.204170427930421e-18,0.0,False,False,False
22,original_calendar_aligned,7.2,capacity_p95_plus_10percent,eahpa_point,uncontrolled,42.773191154600056,-126,-2.463307335887066e-16,1.4551915228366852e-11,False,False,False
22,original_calendar_aligned,7.2,capacity_p95_plus_10percent,eahpa_point,valley_filling,-13.517047766697111,5,-1.231653667943533e-16,1.4551915228366852e-11,False,False,False
